time,tem,heating rate,,,
min,K,K/min,,,
0,304.61,0,100,0.00082754,Training
0.016666667,304.63,18277.8,100,0.00082754,Training
0.033333333,304.6,9138,100,0.00082754,Validation
0.05,304.64,6092.8,100,0.00082754,Training
0.066666667,304.63,4569.45,100,0.00082754,Test
0.083333333,304.67,3656.04,100,0.00082754,Training
0.1,304.72,3047.2,100,0.00082754,Training
0.116666667,304.78,2612.4,100,0.00082754,Training
0.133333333,304.85,2286.375,100,0.00082754,Training
0.15,304.94,2032.933333,100,0.00082754,Training
0.166666667,305.01,1830.06,100,0.00082754,Training
0.183333333,305.11,1664.236364,100,0.00082754,Training
0.2,305.21,1526.05,100,0.00082754,Training
0.216666667,305.29,1409.030769,100,0.00082754,Training
0.233333333,305.4,1308.857143,100,0.00082754,Training
0.25,305.47,1221.88,100,0.00082754,Training
0.266666667,305.6,1146,100,0.00082754,Test
0.283333333,305.67,1078.835294,100,0.00082754,Training
0.3,305.76,1019.2,100,0.00082754,Training
0.316666667,305.89,965.9684211,100,0.00082754,Validation
0.333333333,305.93,917.79,100,0.00082754,Training
0.35,306.09,874.5428571,99.95034757,0,Training
0.366666667,306.14,834.9272727,99.95034757,0,Training
0.383333333,306.26,798.9391304,99.95034757,0,Training
0.4,306.37,765.925,99.95034757,0,Test
0.416666667,306.43,735.432,99.95034757,0,Validation
0.433333333,306.58,707.4923077,99.95034757,0,Training
0.45,306.65,681.4444444,99.95034757,0,Training
0.466666667,306.77,657.3642857,99.95034757,0,Training
0.483333333,306.87,634.9034483,99.95034757,0,Training
0.5,306.96,613.92,99.95034757,0,Training
0.516666667,307.09,594.3677419,99.95034757,0.000827541,Training
0.533333333,307.18,575.9625,99.95034757,0.000827541,Validation
0.55,307.29,558.7090909,99.95034757,0.000827541,Training
0.566666667,307.4,542.4705882,99.95034757,0.000827541,Training
0.583333333,307.51,527.16,99.95034757,0.000827541,Training
0.6,307.62,512.7,99.95034757,0.000827541,Training
0.616666667,307.74,499.0378378,99.95034757,0.000827541,Training
0.633333333,307.82,486.0315789,99.95034757,0.000827541,Training
0.65,307.96,473.7846154,99.95034757,0.000827541,Test
0.666666667,308.06,462.09,99.95034757,0.000827541,Training
0.683333333,308.17,450.9804878,99.95034757,0.000827541,Training
0.7,308.3,440.4285714,99.95034757,0.000827541,Training
